person_id,product_id
855675829,416564265
855675829,474149109
420528235,429892578
420528235,799496665
420528235,697957669
104537885,697957669
820649146,799496665
820649146,416564265
820649146,534441825
820649146,630549873
407388344,534441825
407388344,416564265
341005673,429892578
341005673,865613886
341005673,138121600
341005673,936630193
435940778,138121600
435940778,630549873
435940778,534441825
69552441,416564265
601424760,429892578
601424760,344841963
601424760,474149109
542412529,688278748
197693379,474149109
197693379,936630193
234086834,138121600
234086834,474149109
234086834,429892578
100088891,630549873
100088891,344841963
100088891,688278748
100088891,865613886
691822659,799496665
691822659,416564265
691822659,697957669
407759967,344841963
363951993,474149109
363951993,930992949
363951993,138121600
638503580,416564265
638503580,688278748
638503580,44285984
638503580,416564265
658072951,630549873
658072951,344841963
658072951,138121600
