id1,id2
420528235,691822659
104537885,197693379
104537885,197693379
104537885,234086834
820649146,601424760
820649146,691822659
820649146,691822659
407388344,855675829
407388344,855675829
407388344,691822659
341005673,435940778
341005673,104537885
435940778,658072951
435940778,407388344
542412529,638503580
197693379,638503580
197693379,420528235
197693379,435940778
765330236,197693379
765330236,420528235
234086834,197693379
100088891,69552441
100088891,638503580
637773671,69552441
637773671,100088891
691822659,542412529
691822659,341005673
